SKU;Name;Parent SKU;Min - Max;Type;Default price;Extra price;Accounting group;Button name;Cost price;Package content (stock management);Package unit (stock management);Weight;Tare (grams, selling by weight);Sharing status;Statistics group
315;No Tonic;;;item;0.0;;Divers;No Tonic;0.0000;;;;;LOCAL;
316;Baby guinness;;;item;3.0;;SHOTS;Baby guinness;0.4245;;;;;LOCAL;
317;Bombay Sapphire;;;combo;4.0;;GIN;Bombay Sapphire;0.9944;;;;;LOCAL;
318;Tap 3 0,3L Quellmalz - Spez. Pils;;;item;3.5;;Tap Craft Beer 0,3L;Tap 3 0,3L Quellmalz - Spez. Pils;0.7500;;;;;LOCAL;default/
319;Tap 3 0,5L Quellmalz - Spez. Pils;;;item;5.0;;Tap Craft Beer 0,5L;Tap 3 0,5L Quellmalz - Spez. Pils;1.0900;;;;;LOCAL;default/
324;T-shirt;;;item;15.0;;Divers;T-shirt;;;;;;LOCAL;
325;Wedges Extras paid;;0-*;group;;;;Wedges Extras paid;;;;;;LOCAL;
326;Campari Spritz;;;item;9.0;;Long Drinks;Campari Spritz;1.1554;;;;;LOCAL;default/
329;Schöfferhofer Hefe Bottle 0,5L;;;item;4.5;;Alkohol;Schöfferhofer Hefe Bottle 0,5L;0.9100;0.50000;VOLUME;;;LOCAL;default/
330;Castle glass 0.3;;;item;4.0;;accessories;Castle glass 0.3;3.5000;;;;;LOCAL;default/
331;Castle glass 0.5;;;item;6.0;;accessories;Castle glass 0.5;2.5000;;;;;LOCAL;default/
336;Moccha;;;item;4.5;;Coffee;Moccha;;;;;;LOCAL;
339;Jack Daniel's - Rye 4 cl;;;item;4.5;;Whiskey;Jack Daniel's - Rye 0,4cl;1.4500;2.00000;VOLUME;;;LOCAL;
340;Jack Daniel's - Rye 2 cl;;;item;2.5;;Whiskey;Jack Daniel's - Rye 2 cl;0.7300;;;;;LOCAL;
346;pizza dough;;;item;5.56;;Food;pizza dough;0.5886;1.00000;DIMENSION_LESS;;;LOCAL;default/
347;FP Mozzarella gerieben 40% - 1kg;;;item;0.0;;Food;recipe-Mozarella - 2KG;8.0200;1.00000;MASS;;;LOCAL;default/
